Jan 24, '22 22:57:12 | ETL_LIS | INFO: Loading D_REGION Table
Jan 24, '22 22:57:18 | ETL_LIS | INFO: Closed Database Connection
Jan 24, '22 23:18:05 | ETL_LIS | INFO: Loading D_REGION Table
Jan 24, '22 23:18:05 | ETL_LIS | INFO: Attempting Snowflake Database Connection with user raj**** and account rb239**
Jan 24, '22 23:18:05 | ETL_LIS | INFO: Snowflake Connector for Python Version: 2.7.2, Python Version: 3.8.10, Platform: Linux-5.11.0-46-generic-x86_64-with-glibc2.29
Jan 24, '22 23:18:05 | ETL_LIS | INFO: This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
Jan 24, '22 23:18:05 | ETL_LIS | INFO: Setting use_openssl_only mode to False
Jan 24, '22 23:18:07 | ETL_LIS | INFO: Database Connection Successful
Jan 24, '22 23:18:07 | ETL_LIS | INFO: Created Database Connection Cursor
Jan 24, '22 23:18:07 | ETL_LIS | INFO: query: [USE NAMIT_BHATBHATENI.DWH_TMP_BBSM]
Jan 24, '22 23:18:07 | ETL_LIS | INFO: query execution done
Jan 24, '22 23:18:07 | ETL_LIS | INFO: Cursor Execution - Used DWH_TMP_BBSM Schema of NAMIT_BHATBHATENI Database to fetch data
Jan 24, '22 23:18:07 | ETL_LIS | INFO: query: [UPDATE NAMIT_BHATBHATENI.DWH_TMP_BBSM.D_REGION_TMP reg SET reg.COUNTRY_ID = cnt....]
Jan 24, '22 23:18:08 | ETL_LIS | INFO: query execution done
Jan 24, '22 23:18:08 | ETL_LIS | INFO: Cursor Execution - Changed Subcategory_id business key to point surrogate key as foreign key
Jan 24, '22 23:18:08 | ETL_LIS | INFO: query: [SELECT * FROM D_REGION_TMP]
Jan 24, '22 23:18:08 | ETL_LIS | INFO: query execution done
Jan 24, '22 23:18:08 | ETL_LIS | INFO: Cursor Execution - Fetching all data from D_REGION_TMP Table
Jan 24, '22 23:18:08 | ETL_LIS | INFO: Converted Fetched Data to Pandas Dataframe
Jan 24, '22 23:18:08 | ETL_LIS | INFO: query: [USE NAMIT_BHATBHATENI.DWH_TGT_BBSM]
Jan 24, '22 23:18:08 | ETL_LIS | INFO: query execution done
Jan 24, '22 23:18:08 | ETL_LIS | INFO: Cursor Execution - Used DWH_TGT_BBSM Schema of NAMIT_BHATBHATENI Database to load data
Jan 24, '22 23:18:08 | ETL_LIS | INFO: query: [create temporary stage /* Python:snowflake.connector.pandas_tools.write_pandas()...]
Jan 24, '22 23:18:09 | ETL_LIS | INFO: query execution done
Jan 24, '22 23:18:09 | ETL_LIS | INFO: query: [PUT /* Python:snowflake.connector.pandas_tools.write_pandas() */ 'file:///tmp/tm...]
Jan 24, '22 23:18:09 | ETL_LIS | INFO: query execution done
Jan 24, '22 23:18:11 | ETL_LIS | INFO: query: [COPY INTO "D_REGION" /* Python:snowflake.connector.pandas_tools.write_pandas() *...]
Jan 24, '22 23:18:12 | ETL_LIS | INFO: query execution done
Jan 24, '22 23:18:12 | ETL_LIS | INFO: Loaded all Region Data to Target Table 'D_REGION'
Jan 24, '22 23:18:12 | ETL_LIS | INFO: closed
Jan 24, '22 23:18:12 | ETL_LIS | INFO: No async queries seem to be running, deleting session
Jan 24, '22 23:18:12 | ETL_LIS | INFO: Closed Database Connection Cursor
Jan 24, '22 23:18:12 | ETL_LIS | INFO: Closed Database Connection
Jan 24, '22 23:20:04 | ETL_LIS | INFO: Loading D_REGION Table
Jan 24, '22 23:20:04 | ETL_LIS | INFO: Attempting Snowflake Database Connection with user raj**** and account rb239**
Jan 24, '22 23:20:04 | ETL_LIS | INFO: Snowflake Connector for Python Version: 2.7.2, Python Version: 3.8.10, Platform: Linux-5.11.0-46-generic-x86_64-with-glibc2.29
Jan 24, '22 23:20:04 | ETL_LIS | INFO: This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
Jan 24, '22 23:20:04 | ETL_LIS | INFO: Setting use_openssl_only mode to False
Jan 24, '22 23:20:06 | ETL_LIS | INFO: Database Connection Successful
Jan 24, '22 23:20:06 | ETL_LIS | INFO: Created Database Connection Cursor
Jan 24, '22 23:20:06 | ETL_LIS | INFO: query: [USE NAMIT_BHATBHATENI.DWH_TMP_BBSM]
Jan 24, '22 23:20:06 | ETL_LIS | INFO: query execution done
Jan 24, '22 23:20:06 | ETL_LIS | INFO: Cursor Execution - Used DWH_TMP_BBSM Schema of NAMIT_BHATBHATENI Database to fetch data
Jan 24, '22 23:20:06 | ETL_LIS | INFO: query: [UPDATE NAMIT_BHATBHATENI.DWH_TMP_BBSM.D_REGION_TMP reg SET reg.COUNTRY_ID = cnt....]
Jan 24, '22 23:20:06 | ETL_LIS | INFO: query execution done
Jan 24, '22 23:20:06 | ETL_LIS | INFO: Cursor Execution - Changed Subcategory_id business key to point surrogate key as foreign key
Jan 24, '22 23:20:06 | ETL_LIS | INFO: query: [SELECT * FROM D_REGION_TMP]
Jan 24, '22 23:20:07 | ETL_LIS | INFO: query execution done
Jan 24, '22 23:20:07 | ETL_LIS | INFO: Cursor Execution - Fetching all data from D_REGION_TMP Table
Jan 24, '22 23:20:07 | ETL_LIS | INFO: Converted Fetched Data to Pandas Dataframe
Jan 24, '22 23:20:07 | ETL_LIS | INFO: query: [USE NAMIT_BHATBHATENI.DWH_TGT_BBSM]
Jan 24, '22 23:20:07 | ETL_LIS | INFO: query execution done
Jan 24, '22 23:20:07 | ETL_LIS | INFO: Cursor Execution - Used DWH_TGT_BBSM Schema of NAMIT_BHATBHATENI Database to load data
Jan 24, '22 23:20:07 | ETL_LIS | INFO: query: [create temporary stage /* Python:snowflake.connector.pandas_tools.write_pandas()...]
Jan 24, '22 23:20:07 | ETL_LIS | INFO: query execution done
Jan 24, '22 23:20:07 | ETL_LIS | INFO: query: [PUT /* Python:snowflake.connector.pandas_tools.write_pandas() */ 'file:///tmp/tm...]
Jan 24, '22 23:20:08 | ETL_LIS | INFO: query execution done
Jan 24, '22 23:20:09 | ETL_LIS | INFO: query: [COPY INTO "D_REGION" /* Python:snowflake.connector.pandas_tools.write_pandas() *...]
Jan 24, '22 23:20:10 | ETL_LIS | INFO: query execution done
Jan 24, '22 23:20:10 | ETL_LIS | INFO: Loaded all Region Data to Target Table 'D_REGION'
Jan 24, '22 23:20:10 | ETL_LIS | INFO: closed
Jan 24, '22 23:20:10 | ETL_LIS | INFO: No async queries seem to be running, deleting session
Jan 24, '22 23:20:10 | ETL_LIS | INFO: Closed Database Connection Cursor
Jan 24, '22 23:20:10 | ETL_LIS | INFO: Closed Database Connection
